1: 376
2: 624
3: 0
4: 
---------PLAYER 1 --------- | ------ PLAYER 2 -------------- 
         45.18%             |        47.94%
         96.86%             |        45.15%
         45.44%             |        41.68%
         78.75%             |        82.27%
         45.88%             |        96.84%
         75.73%             |        62.99%
         99.28%             |        49.58%
         77.73%             |        87.17%
         44.80%             |        85.86%
         52.44%             |        50.06%
         49.71%             |        91.21%
         61.90%             |        45.53%
         49.73%             |        44.82%
         44.83%             |        65.90%
         24.79%             |        59.31%
         45.15%             |        49.71%
         66.07%             |        91.75%
         94.69%             |        41.33%
         71.66%             |        98.42%
         41.49%             |        33.26%
         40.59%             |        69.56%
         49.39%             |        45.89%
         49.71%             |        56.53%
         36.71%             |        49.00%
         61.19%             |        62.13%
         43.77%             |        80.98%
         50.10%             |        45.85%
         41.67%             |        50.06%
         62.82%             |        45.43%
         73.93%             |        37.47%
         49.74%             |        41.58%
         50.09%             |        33.26%
         76.00%             |        37.44%
         45.69%             |        91.29%
         62.76%             |        49.84%
         87.71%             |        95.52%
         40.91%             |        50.10%
         75.18%             |        49.71%
         37.05%             |        76.11%
         82.28%             |        56.59%
         85.40%             |        95.13%
         45.79%             |        75.96%
         88.48%             |        63.06%
         95.31%             |        72.72%
         49.52%             |        59.53%
         50.03%             |        64.88%
         41.29%             |        74.16%
         78.48%             |        72.83%
         48.68%             |        71.43%
         87.67%             |        49.93%
         85.03%             |        90.69%
         50.06%             |        75.18%
         97.45%             |        33.26%
         45.47%             |        85.46%
         71.95%             |        85.04%
         45.50%             |        95.13%
         84.17%             |        50.03%
         32.92%             |        56.47%
         62.55%             |        91.56%
         33.26%             |        55.71%
         97.44%             |        49.71%
         45.50%             |        91.56%
         48.65%             |        55.77%
         49.29%             |        78.98%
         72.03%             |        29.00%
         45.86%             |        41.68%
         85.50%             |        72.79%
         32.91%             |        45.54%
         78.82%             |        45.12%
         45.89%             |        66.35%
         53.29%             |        37.38%
         45.89%             |        41.58%
         32.91%             |        69.27%
         32.91%             |        45.88%
         49.39%             |        69.20%
         95.79%             |        49.67%
         69.45%             |        96.49%
         49.38%             |        66.09%
         72.22%             |        49.74%
         64.63%             |        58.74%
         45.76%             |        84.99%
         66.29%             |        99.81%
         88.19%             |        44.83%
         45.82%             |        49.29%
         91.83%             |        45.15%
         62.28%             |        50.06%
         91.98%             |        45.44%
         74.46%             |        49.39%
         45.15%             |        94.32%
         49.74%             |        52.24%
         87.21%             |        61.38%
         70.68%             |        87.19%
         55.74%             |        69.28%
         45.89%             |        72.55%
         40.95%             |        89.02%
         58.76%             |        49.03%
         64.42%             |        75.68%
         56.58%             |        85.00%
         48.68%             |        82.52%
         61.72%             |        85.03%
         81.96%             |        41.32%
         58.17%             |        97.28%
         78.91%             |        82.61%
         71.47%             |        90.99%
         32.92%             |        56.48%
         82.25%             |        37.35%
         50.09%             |        62.24%
         41.68%             |        62.02%
         37.02%             |        49.94%
         85.05%             |        50.08%
         37.41%             |        45.46%
         96.60%             |        32.53%
         49.00%             |        33.26%
         37.12%             |        93.93%
         49.36%             |        75.20%
         49.74%             |        75.98%
         45.15%             |        76.12%
         70.68%             |        99.16%
         41.20%             |        50.05%
         50.09%             |        93.95%
         50.09%             |        45.88%
         65.99%             |        62.54%
         95.00%             |        45.88%
         41.23%             |        45.88%
         40.94%             |        99.13%
         45.15%             |        62.99%
         79.32%             |        45.82%
         93.55%             |        45.43%
         41.67%             |        72.48%
         91.26%             |        45.44%
         45.82%             |        89.08%
         68.74%             |        96.77%
         49.55%             |        75.70%
         37.47%             |        71.76%
         53.03%             |        37.12%
         69.59%             |        49.71%
         41.62%             |        79.34%
         77.72%             |        37.05%
         45.53%             |        77.70%
         75.54%             |        72.54%
         48.23%             |        79.00%
         32.88%             |        88.97%
         63.03%             |        94.70%
         45.78%             |        49.35%
         45.53%             |        40.53%
         37.46%             |        75.43%
         75.81%             |        49.38%
         96.85%             |        81.48%
         24.79%             |        50.03%
         81.98%             |        49.00%
         88.47%             |        90.42%
         41.33%             |        82.41%
         77.71%             |        99.12%
         48.97%             |        94.29%
         44.12%             |        54.67%
         49.68%             |        97.34%
         53.19%             |        65.54%
         85.86%             |        45.15%
         29.06%             |        40.88%
         28.70%             |        58.17%
         45.18%             |        40.61%
         55.49%             |        86.92%
         56.31%             |        70.66%
         96.16%             |        68.18%
         65.27%             |        78.50%
         45.54%             |        48.30%
         75.21%             |        45.47%
         70.95%             |        44.48%
         45.53%             |        74.20%
         45.09%             |        75.73%
         41.23%             |        49.87%
         49.36%             |        45.54%
         36.73%             |        49.99%
         47.91%             |        45.82%
         48.26%             |        33.20%
         78.73%             |        49.62%
         85.81%             |        56.24%
         48.68%             |        72.55%
         49.74%             |        69.27%
         37.11%             |        45.84%
         36.06%             |        56.28%
         49.64%             |        82.61%
         62.19%             |        45.11%
         41.52%             |        45.86%
         41.65%             |        49.36%
         39.56%             |        65.93%
         45.15%             |        75.98%
         72.73%             |        85.56%
         91.00%             |        40.62%
         98.84%             |        37.47%
         93.88%             |        49.97%
         49.65%             |        56.28%
         49.39%             |        55.48%
         88.58%             |        91.76%
         44.77%             |        49.74%
         67.43%             |        81.21%
         90.97%             |        33.26%
         40.98%             |        49.99%
         58.76%             |        49.23%
         44.12%             |        49.75%
         90.42%             |        50.06%
         45.47%             |        95.04%
         37.47%             |        45.41%
         98.69%             |        49.64%
         62.76%             |        32.18%
         59.74%             |        99.17%
         78.95%             |        91.67%
         36.70%             |        56.30%
         36.42%             |        59.46%
         58.49%             |        66.31%
         45.84%             |        72.78%
         96.26%             |        69.57%
